Comment,Designator,Footprint,LCSC
16Mhz,Y1,OSC-SMD_4P-L3.2-W2.5-BL,C13738
22pF,"C1,C2",C_1206_3216Metric,C107174
5.1k,"R7,R6",R_1206_3216Metric,"
C168589 "
D,"D02_2,D00_2,D00_3,D01_3,D01_2,D00_1,D02_3,D01_1,D02_1",D_SOD-123-Pretty,C81598
USB_C_Receptacle_USB2.0,JD1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10μF,C8,C_1206_3216Metric,C13585
10k,"R5,R4",R_1206_3216Metric,C17928
0.1μF,"C7,C6,C5",C_1206_3216Metric,C24497
TS-1187A-B-A-B,RESET_SW1,SW_TS-1187A-B-A-B,C318884
SMD0805-050-16V,FD1,Fuse_1206_3216Metric,C2833485
1M,RD1,R_1206_3216Metric,C17927
22,"R2,R3",R_1206_3216Metric,C17958
1μF,C3,C_1206_3216Metric,C1848
ESD5Z5V0,DD1,D_SOD-523,C502546
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
4.7μF,CD4,C_1206_3216Metric,C29823
TPD4E05U06DQAR,UD1,USON-10_L2.5-W1.0-P0.50-BL,C2836386
